category,number,prompt,correct
Bcs Tm12,4,The following are the requirements identified as critical :REQ-SEL-001. The user shall be able to combine all the three products with all the four durations to define an item to purchase.REQ-SEL-002. The user shall be able to add a maximum of six different items to the shopping cart.REQ-PUR-001. The user shall be able to purchase all the items in the shopping cart using a credit voucher.REQ-PUR-002. The user shall be able to purchase all the items in the shopping cart using the available credit already charged on the smartcard.REQ-PUR-003. The user shall be able to purchase all the items in the shopping cart using all the accepted credit cards (Visa MasterCard and Great Wall Card).REG-LOGO-001. The user shall be able to logout (by clicking the logout button) from both the select and purchase pages going back to the browse page (anonymous navigation).Moreover the following quality risk item has been identified as critical :QR-P1. The web customer portal might not be able to provide the expected response time (less than 10 sec) for the purchase transactions under a load of up-to 1000 concurrent users.Test analysis for system testing has just begun and the following test conditions have been identified:TC-SEL-01. Test the combinations of products and durations to define an item to purchaseTC-SEL-02. Test the maximum number of items which can be added to the shopping cartTC-PUR-01. Test the purchase of an itemTC-PUR-02. Test the purchase of an item with the credit charged on the smartcardWhat is the MINIMUM number of test conditions that must be added to fulfill both the EXCR1 and EXCR2 exit criteria? A. 1 B. 2 C. 3 D. 4 ,C
Bicsi Rcdd 001,1,Which characteristic is an advantage of copper based media over optical fiber cable? [] A. Weight B. Corrosion resistance C. Ability to handle analog signals D. Susceptibility to EMI E. Very high data rates ,C
Bicsi Rcdd 001,2,Which is an advantage of stranded conductors over solid conductors? [] A. Less costly B. Simpler terminations C. Better high frequency performance D. More flexible ,D
Bicsi Rcdd 001,3,Composite conductors although not generally recommended may be used in special circumstances because they provide all of the following advantagesEXCEPT: [] A. Have good digital transmission characteristics B. Lightweight C. Inexpensive D. Easy to produce E. Easily embedded into other materials ,A
Bicsi Rcdd 001,4,Which electrical characteristic is displayed with the correct preferred value? [] A. Dielectric constant high value B. Dielectric strength high value C. Dissipation factor low value D. Insulation resistance - high value ,A
Bicsi Rcdd 001,5,If the input signal power to a communication system is 1 W and the output power is 1 mW the system attenuation is: [] A. 3 dB. B. 20 dB. C. 30 dB. D. 40 dB. E. 1000 dB. 2 ,C
Bicsi Rcdd 001,6,Two sinusoidal signals have the same amplitude (A) and the same frequency (f). They differ in phase by 180 degrees. If these two signals are added together the result is a sinusoidal signal having an amplitude of: [] A. Zero B. 0.707A and a frequency of f C. A and a frequency of 2f D. 2A and a frequency of f E. 2A and a frequency of 2f ,A
Bicsi Rcdd 001,7,Which of the following correctly lists the lowest frequency band to the highest frequency band? A. MF HF VHF UHF B. UHF VHF HF MF C. HF MF UHF VHF D. VHF UHF MF HF E. HF MF UHF VHF ,A
Bicsi Rcdd 001,8,The conversion of an analog speech signal to a pulse code modulation (PCM) digital signal involves all of the following steps EXCEPT: A. Low pass filtering B. Periodic sampling C. Quantizing D. Companding E. Amplitude modulation ,E
Bicsi Rcdd 001,9,The signal at the input to a balanced twisted pair cable is 10 mW. The cable is 1000 feet long and has an attenuation of 1 dB per 100 feet. This cable is connected to the input of a receiver. The noise level at the input to the receiver is 1 microwatt. What is the signal-to-noise ratio (SNR) (dB) at the receiver input? [] A. 10 dB. B. 30 dB. C. 40 dB. D. 60 dB. E. 100 dB. 3 ,B
Bicsi Rcdd 001,10,You must place CAT6 cable above a factory floor with automated welding machines and hammer forges. Of the following what type of shielding would be most effective? A. Multi-layer braid B. Foil and braid C. Solid metallic conduit D. Flex metallic conduit E. Sch. 40 PVC conduit ,C
Blockchain Cbbf,1,What does a Merkle tree provide? A. Efficient block lookups and protection against forgery B. Anonymity and transparency C. A Turing complete distributed network D. A way to deploy smart contracts onto the Blockchain E. All of the above ,A
Blockchain Cbbf,2,What does P2P stand for? A. Person to Person B. Public to Person C. Peer to Peer D. Product to Person E. None of the above ,C
Blockchain Cbbf,3,Blockchain is always decentralized. A. True B. False ,A
Blockchain Cbbf,4,What is Ethereum? A. Another name for Bitcoin B. A platform for creating decentralized applications C. A currency D. Another name for Blockchain ,B
Blockchain Cbde,1,Consensus is reached: A. by the miner nodes which make sure that a transaction is valid. B. by every single node in the blockchain network executing the same transaction. C. by a cryptographic secure signature algorithm called ECDSA which makes sure that cheating is impossible. ,B
Blockchain Cbde,2,Smart Contracts can be written in: A. Java C++ Solidity and JavaScript because the Ethereum Blockchain is completely language agnostic and cross compilers exist for every major language. B. Solidity Viper LLL and Serpent because those are high level languages that are compiled down to bytecode. C. Solidity and JavaScript because those are the official first implementations for Distributed applications and the Blockchain supports those languages fully. ,B
Blockchain Cbde,3,Solidity gets compiled: A. to bytecode that can't be understood by humans. B. to bytecodes which are essentially opcodes running instruction by instruction. ,B
Blockchain Cbde,4,Having a bug-bounty program early on: A. can help to engage the community in testing your smart contracts and therefore help to find bugs early. B. might be a burden as it is an administrative overhead mainly. C. is completely useless. Who wants to test beta-ware software? It's better to start with the bug-bounty program after the contract is released on the main-net. ,A
